euristica,moves,win
otimizada,10,false
simples,30,true
otimizada,12,true
simples,29,true
otimizada,15,true
simples,36,true
otimizada,24,true
simples,1,true
otimizada,1,true
simples,19,false
otimizada,9,true
simples,34,true
otimizada,9,false
simples,28,false
otimizada,22,false
simples,10,true
otimizada,8,false
simples,34,true
otimizada,14,false
simples,1,true
otimizada,1,true
simples,34,true
otimizada,2,false
simples,39,true
otimizada,7,true
simples,26,true
otimizada,12,false
simples,31,true
otimizada,13,false
simples,26,true
otimizada,14,true
simples,38,false
otimizada,13,true
simples,22,true
otimizada,22,true
simples,29,true
otimizada,29,true
simples,27,true
otimizada,5,true
simples,16,true
otimizada,16,true
simples,14,false
otimizada,2,true
simples,21,true
otimizada,17,true
simples,27,true
otimizada,27,true
simples,20,true
otimizada,6,false
simples,29,true
otimizada,19,true
simples,18,true
otimizada,16,false
simples,22,true
otimizada,8,false
simples,17,true
otimizada,15,true
simples,22,false
otimizada,12,true
simples,1,true
otimizada,1,true
simples,34,true
otimizada,2,false
simples,28,true
otimizada,10,false
simples,17,true
otimizada,10,false
simples,19,false
otimizada,19,false
simples,21,true
otimizada,13,false
simples,1,false
otimizada,1,false
simples,23,true
otimizada,17,true
simples,34,true
otimizada,4,true
simples,22,true
otimizada,4,true
simples,22,true
otimizada,14,false
simples,1,true
otimizada,1,true
simples,27,true
otimizada,23,true
simples,21,false
otimizada,21,false
simples,9,true
otimizada,3,true
simples,25,true
otimizada,11,true
simples,30,true
otimizada,4,true
simples,25,true
otimizada,23,false
simples,21,true
otimizada,21,true
simples,2,false
otimizada,2,false
simples,30,true
otimizada,6,true
simples,26,true
otimizada,11,false
simples,28,true
otimizada,14,true
simples,26,true
otimizada,18,false
simples,1,false
otimizada,1,false
simples,26,true
otimizada,18,false
simples,36,true
otimizada,12,true
simples,2,true
otimizada,2,true
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,28,false
otimizada,22,true
simples,31,true
otimizada,16,true
simples,24,true
otimizada,6,false
simples,31,true
otimizada,7,true
simples,1,false
otimizada,1,false
simples,30,true
otimizada,10,true
simples,24,true
otimizada,12,false
simples,1,true
otimizada,1,true
simples,1,false
otimizada,1,false
simples,25,true
otimizada,3,true
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,23,false
otimizada,4,false
simples,1,false
otimizada,1,false
simples,30,true
otimizada,12,true
simples,1,false
otimizada,1,false
simples,27,true
otimizada,27,true
simples,1,false
otimizada,1,false
simples,22,true
otimizada,18,false
simples,25,true
otimizada,3,false
simples,26,true
otimizada,8,true
simples,17,true
otimizada,5,true
simples,25,false
otimizada,8,true
simples,30,false
otimizada,12,false
simples,29,true
otimizada,19,true
simples,25,true
otimizada,23,true
simples,2,false
otimizada,1,false
simples,35,true
otimizada,19,true
simples,31,true
otimizada,9,true
simples,11,false
otimizada,11,false
simples,38,true
otimizada,4,false
simples,31,true
otimizada,9,false
simples,23,true
otimizada,21,false
simples,28,false
otimizada,10,true
simples,24,true
otimizada,24,true
simples,34,true
otimizada,4,true
simples,31,true
otimizada,7,true
simples,2,true
otimizada,2,true
simples,31,true
otimizada,23,false
simples,16,true
otimizada,10,false
simples,31,true
otimizada,7,false
simples,14,false
otimizada,14,false
simples,27,true
otimizada,2,false
simples,31,true
otimizada,3,false
simples,17,true
otimizada,3,false
simples,25,true
otimizada,10,false
simples,20,false
otimizada,6,true
simples,27,true
otimizada,5,false
simples,27,true
otimizada,13,true
simples,29,true
otimizada,5,false
simples,37,true
otimizada,11,true
simples,29,true
otimizada,3,true
simples,18,true
otimizada,2,false
simples,26,true
otimizada,10,true
simples,8,false
otimizada,6,false
simples,32,true
otimizada,6,false
simples,24,false
otimizada,14,true
simples,35,true
otimizada,29,true
simples,14,false
otimizada,12,true
simples,26,true
otimizada,6,true
simples,16,false
otimizada,12,true
simples,6,false
otimizada,4,true
simples,36,true
otimizada,8,false
simples,34,true
otimizada,12,true
simples,1,true
otimizada,1,true
simples,29,false
otimizada,29,false
simples,8,false
otimizada,4,false
simples,24,false
otimizada,12,false
simples,30,true
otimizada,10,false
simples,28,true
otimizada,4,false
simples,1,true
otimizada,1,true
simples,27,false
otimizada,15,false
simples,1,false
otimizada,1,false
simples,9,true
otimizada,5,true
simples,31,true
otimizada,17,true
simples,28,true
otimizada,23,true
simples,27,true
otimizada,5,false
simples,5,false
otimizada,2,false
simples,9,false
otimizada,3,true
simples,21,true
otimizada,15,true
simples,19,true
otimizada,17,true
simples,1,false
otimizada,1,false
simples,25,true
otimizada,17,true
simples,35,true
otimizada,19,true
simples,28,true
otimizada,8,true
simples,1,true
otimizada,1,true
simples,29,true
otimizada,11,true
simples,29,false
otimizada,19,true
simples,36,true
otimizada,6,true
simples,20,false
otimizada,6,true
simples,2,false
otimizada,2,false
simples,9,true
otimizada,3,true
simples,29,true
otimizada,5,false
simples,33,true
otimizada,27,true
simples,24,true
otimizada,18,true
simples,26,true
otimizada,16,false
simples,2,false
otimizada,2,false
simples,1,false
otimizada,1,false
simples,27,true
otimizada,17,true
simples,21,true
otimizada,17,true
simples,36,true
otimizada,18,true
simples,20,true
otimizada,8,false
simples,22,true
otimizada,20,false
simples,6,false
otimizada,4,true
simples,1,false
otimizada,1,false
simples,28,true
otimizada,26,true
simples,19,false
otimizada,13,true
simples,22,true
otimizada,14,true
simples,1,false
otimizada,1,false
simples,19,true
otimizada,5,true
simples,12,true
otimizada,12,true
simples,16,true
otimizada,14,false
simples,1,false
otimizada,1,false
simples,33,true
otimizada,9,true
simples,1,false
otimizada,1,false
simples,1,true
otimizada,1,true
simples,1,false
otimizada,1,false
simples,33,true
otimizada,19,true
simples,33,true
otimizada,5,false
simples,26,true
otimizada,24,true
simples,22,true
otimizada,6,true
simples,1,false
otimizada,1,false
simples,30,true
otimizada,16,false
simples,34,false
otimizada,34,false
simples,10,true
otimizada,10,true
simples,11,true
otimizada,3,true
simples,27,false
otimizada,16,false
simples,26,true
otimizada,6,false
simples,9,true
otimizada,3,false
simples,1,false
otimizada,1,false
simples,8,false
otimizada,8,false
simples,1,false
otimizada,1,false
simples,12,false
otimizada,12,false
simples,1,true
otimizada,1,true
simples,18,false
otimizada,18,false
simples,36,true
otimizada,24,true
simples,26,true
otimizada,24,false
simples,23,false
otimizada,3,true
simples,33,true
otimizada,21,true
simples,31,true
otimizada,13,false
simples,21,true
otimizada,19,true
simples,28,false
otimizada,30,false
simples,28,true
otimizada,16,false
simples,32,true
otimizada,12,true
simples,5,true
otimizada,5,true
simples,28,true
otimizada,10,true
simples,31,true
otimizada,11,true
simples,21,false
otimizada,13,false
simples,27,true
otimizada,27,true
simples,8,true
otimizada,6,false
simples,23,false
otimizada,9,true
simples,25,true
otimizada,3,false
simples,19,true
otimizada,19,true
simples,1,false
otimizada,1,false
simples,28,true
otimizada,16,false
simples,7,false
otimizada,7,false
simples,17,true
otimizada,6,false
simples,13,true
otimizada,3,false
simples,30,true
otimizada,4,true
simples,3,false
otimizada,3,false
simples,30,false
otimizada,17,true
simples,21,true
otimizada,12,true
simples,32,true
otimizada,22,true
simples,26,true
otimizada,6,false
simples,20,true
otimizada,4,false
simples,8,true
otimizada,2,false
simples,25,false
otimizada,24,true
simples,4,true
otimizada,2,false
simples,40,true
otimizada,25,true
simples,27,true
otimizada,3,false
simples,35,true
otimizada,15,true
simples,1,false
otimizada,1,false
simples,34,true
otimizada,16,true
simples,27,true
otimizada,9,true
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,28,true
otimizada,12,true
simples,26,true
otimizada,6,false
simples,6,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,23,true
otimizada,3,false
simples,33,true
otimizada,5,false
simples,2,false
otimizada,2,false
simples,30,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,21,true
otimizada,17,true
simples,33,true
otimizada,11,true
simples,28,false
otimizada,24,false
simples,31,true
otimizada,17,true
simples,29,true
otimizada,15,true
simples,1,true
otimizada,1,true
simples,1,true
otimizada,1,true
simples,23,true
otimizada,3,false
simples,1,false
otimizada,1,false
simples,21,true
otimizada,7,false
simples,1,false
otimizada,1,false
simples,11,true
otimizada,9,true
simples,34,false
otimizada,20,false
simples,40,true
otimizada,12,false
simples,1,false
otimizada,1,false
simples,30,true
otimizada,6,false
simples,28,true
otimizada,16,false
simples,22,true
otimizada,20,false
simples,30,false
otimizada,7,false
simples,1,true
otimizada,1,true
simples,22,true
otimizada,22,true
simples,24,true
otimizada,24,true
simples,24,false
otimizada,14,true
simples,24,true
otimizada,10,true
simples,33,true
otimizada,27,true
simples,48,true
otimizada,10,true
simples,1,true
otimizada,1,true
simples,3,false
otimizada,11,true
simples,14,true
otimizada,2,false
simples,22,true
otimizada,18,false
simples,11,true
otimizada,11,true
simples,1,false
otimizada,1,false
simples,36,true
otimizada,2,true
simples,34,false
otimizada,18,false
simples,33,true
otimizada,21,true
simples,8,true
otimizada,6,false
simples,28,true
otimizada,28,true
simples,28,true
otimizada,24,true
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,34,true
otimizada,14,true
simples,12,true
otimizada,6,false
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,12,true
otimizada,10,true
simples,14,true
otimizada,4,false
simples,4,false
otimizada,2,true
simples,21,true
otimizada,13,false
simples,24,true
otimizada,4,false
simples,27,false
otimizada,3,true
simples,26,true
otimizada,6,true
simples,12,true
otimizada,4,false
simples,1,false
otimizada,1,false
simples,5,true
otimizada,3,false
simples,25,true
otimizada,3,false
simples,7,false
otimizada,7,false
simples,27,true
otimizada,3,true
simples,31,false
otimizada,15,false
simples,21,true
otimizada,21,true
simples,17,true
otimizada,5,false
simples,1,false
otimizada,1,false
simples,22,true
otimizada,20,false
simples,1,true
otimizada,1,true
simples,33,true
otimizada,20,true
simples,30,true
otimizada,30,true
simples,24,false
otimizada,4,true
simples,33,true
otimizada,5,false
simples,3,false
otimizada,2,false
simples,1,true
otimizada,1,true
simples,9,true
otimizada,3,false
simples,26,true
otimizada,26,true
simples,1,false
otimizada,1,false
simples,27,false
otimizada,27,false
simples,1,false
otimizada,1,false
simples,22,true
otimizada,2,false
simples,6,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,28,true
otimizada,14,true
simples,1,false
otimizada,1,false
simples,26,true
otimizada,10,false
simples,29,true
otimizada,9,true
simples,7,true
otimizada,7,true
simples,1,false
otimizada,1,false
simples,33,true
otimizada,13,true
simples,9,false
otimizada,1,false
simples,2,false
otimizada,2,false
simples,28,true
otimizada,12,true
simples,4,false
otimizada,4,false
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,11,true
otimizada,5,true
simples,29,true
otimizada,7,true
simples,39,true
otimizada,17,false
simples,30,true
otimizada,8,false
simples,26,true
otimizada,10,true
simples,24,true
otimizada,22,true
simples,1,false
otimizada,1,false
simples,8,false
otimizada,8,false
simples,16,true
otimizada,14,false
simples,25,false
otimizada,11,true
simples,15,true
otimizada,13,false
simples,24,true
otimizada,24,true
simples,29,true
otimizada,29,true
simples,4,false
otimizada,4,false
simples,22,true
otimizada,14,true
simples,30,true
otimizada,16,true
simples,29,true
otimizada,5,true
simples,36,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,27,true
otimizada,19,true
simples,1,false
otimizada,1,false
simples,11,true
otimizada,9,false
simples,19,false
otimizada,9,true
simples,25,true
otimizada,17,true
simples,32,true
otimizada,16,true
simples,34,true
otimizada,14,true
simples,32,true
otimizada,8,false
simples,27,true
otimizada,5,false
simples,22,true
otimizada,2,false
simples,28,true
otimizada,20,true
simples,33,false
otimizada,21,false
simples,28,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,30,true
otimizada,4,false
simples,7,false
otimizada,3,true
simples,29,true
otimizada,21,true
simples,21,false
otimizada,28,false
simples,32,true
otimizada,12,true
simples,30,true
otimizada,12,true
simples,17,false
otimizada,11,false
simples,14,true
otimizada,12,false
simples,30,true
otimizada,2,false
simples,24,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,2,false
otimizada,16,true
simples,15,true
otimizada,15,true
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,28,true
otimizada,4,false
simples,28,true
otimizada,2,false
simples,29,true
otimizada,3,true
simples,29,true
otimizada,25,true
simples,18,false
otimizada,12,true
simples,20,true
otimizada,18,false
simples,2,false
otimizada,2,false
simples,26,true
otimizada,26,true
simples,25,true
otimizada,21,false
simples,23,false
otimizada,3,false
simples,31,true
otimizada,9,true
simples,21,true
otimizada,14,true
simples,6,true
otimizada,6,true
simples,23,true
otimizada,23,true
simples,26,true
otimizada,22,true
simples,2,true
otimizada,2,true
simples,30,true
otimizada,18,true
simples,18,true
otimizada,10,false
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,23,true
otimizada,21,false
simples,1,false
otimizada,1,false
simples,32,true
otimizada,7,true
simples,22,true
otimizada,22,true
simples,28,true
otimizada,6,false
simples,25,false
otimizada,25,false
simples,29,true
otimizada,3,false
simples,2,false
otimizada,2,false
simples,27,false
otimizada,8,false
simples,10,true
otimizada,2,false
simples,34,true
otimizada,8,true
simples,28,true
otimizada,6,true
simples,2,false
otimizada,19,true
simples,26,true
otimizada,26,true
simples,2,true
otimizada,2,false
simples,27,true
otimizada,23,true
simples,25,true
otimizada,23,false
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,7,true
otimizada,5,false
simples,15,true
otimizada,5,false
simples,35,true
otimizada,7,true
simples,40,true
otimizada,4,true
simples,1,true
otimizada,1,true
simples,22,false
otimizada,3,false
simples,19,true
otimizada,11,true
simples,28,false
otimizada,33,false
simples,9,false
otimizada,9,false
simples,17,true
otimizada,5,false
simples,17,true
otimizada,15,false
simples,16,false
otimizada,12,true
simples,4,true
otimizada,2,false
simples,2,false
otimizada,11,false
simples,1,true
otimizada,1,true
simples,22,true
otimizada,22,true
simples,20,true
otimizada,14,false
simples,32,true
otimizada,16,true
simples,35,true
otimizada,23,true
simples,11,true
otimizada,9,false
simples,14,true
otimizada,2,true
simples,1,false
otimizada,1,false
simples,10,false
otimizada,4,false
simples,35,true
otimizada,7,false
simples,27,true
otimizada,19,false
simples,22,true
otimizada,12,true
simples,1,true
otimizada,1,true
simples,26,true
otimizada,24,true
simples,21,true
otimizada,5,false
simples,27,true
otimizada,11,true
simples,31,true
otimizada,19,true
simples,29,true
otimizada,9,true
simples,25,true
otimizada,3,false
simples,23,false
otimizada,15,false
simples,31,true
otimizada,13,false
simples,2,false
otimizada,2,false
simples,24,true
otimizada,18,false
simples,29,false
otimizada,16,false
simples,1,false
otimizada,1,false
simples,34,true
otimizada,18,true
simples,1,false
otimizada,1,false
simples,22,false
otimizada,2,false
simples,17,true
otimizada,17,true
simples,1,false
otimizada,1,false
simples,24,true
otimizada,4,false
simples,29,true
otimizada,5,false
simples,27,false
otimizada,15,false
simples,32,true
otimizada,8,true
simples,26,true
otimizada,20,true
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,33,true
otimizada,5,false
simples,34,true
otimizada,5,false
simples,30,true
otimizada,4,false
simples,21,true
otimizada,5,true
simples,24,true
otimizada,24,true
simples,1,false
otimizada,1,false
simples,32,true
otimizada,15,false
simples,24,false
otimizada,24,false
simples,16,true
otimizada,9,false
simples,14,true
otimizada,4,true
simples,35,true
otimizada,35,true
simples,28,false
otimizada,6,true
simples,25,true
otimizada,13,true
simples,8,true
otimizada,2,false
simples,36,true
otimizada,16,true
simples,33,true
otimizada,11,true
simples,21,true
otimizada,17,true
simples,27,false
otimizada,27,false
simples,9,false
otimizada,3,true
simples,1,false
otimizada,1,false
simples,29,false
otimizada,24,true
simples,26,true
otimizada,26,true
simples,29,true
otimizada,5,false
simples,23,true
otimizada,15,false
simples,29,true
otimizada,13,true
simples,20,true
otimizada,16,true
simples,25,true
otimizada,23,true
simples,15,false
otimizada,15,false
simples,1,true
otimizada,1,true
simples,27,true
otimizada,19,false
simples,24,false
otimizada,24,false
simples,28,true
otimizada,10,true
simples,26,true
otimizada,6,false
simples,1,false
otimizada,1,false
simples,26,true
otimizada,6,true
simples,21,false
otimizada,3,false
simples,22,true
otimizada,6,true
simples,14,true
otimizada,12,false
simples,33,true
otimizada,3,false
simples,38,true
otimizada,8,true
simples,32,true
otimizada,12,true
simples,1,false
otimizada,1,false
simples,22,true
otimizada,4,false
simples,34,true
otimizada,2,true
simples,5,true
otimizada,5,true
simples,1,true
otimizada,1,true
simples,14,true
otimizada,2,false
simples,33,true
otimizada,17,true
simples,24,true
otimizada,8,true
simples,28,true
otimizada,8,true
simples,20,true
otimizada,8,true
simples,22,true
otimizada,8,false
simples,8,true
otimizada,4,false
simples,1,false
otimizada,1,false
simples,22,true
otimizada,6,false
simples,17,true
otimizada,3,false
simples,19,true
otimizada,15,false
simples,24,true
otimizada,2,true
simples,26,true
otimizada,22,true
simples,39,true
otimizada,5,false
simples,36,true
otimizada,18,false
simples,21,true
otimizada,13,false
simples,21,false
otimizada,21,false
simples,6,false
otimizada,2,true
simples,18,true
otimizada,2,false
simples,15,true
otimizada,3,false
simples,30,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,29,true
otimizada,3,false
simples,8,true
otimizada,2,false
simples,30,true
otimizada,30,true
simples,28,false
otimizada,28,false
simples,27,true
otimizada,23,true
simples,27,true
otimizada,3,false
simples,21,true
otimizada,17,true
simples,2,true
otimizada,2,true
simples,27,true
otimizada,5,true
simples,29,true
otimizada,17,true
simples,35,true
otimizada,3,false
simples,10,true
otimizada,4,false
simples,27,true
otimizada,17,true
simples,1,false
otimizada,1,false
simples,27,true
otimizada,11,false
simples,9,true
otimizada,3,false
simples,1,true
otimizada,1,true
simples,20,true
otimizada,6,false
simples,25,true
otimizada,15,true
simples,35,true
otimizada,17,false
simples,9,true
otimizada,3,false
simples,23,true
otimizada,23,true
simples,27,true
otimizada,19,true
simples,16,false
otimizada,10,true
simples,9,true
otimizada,3,false
simples,23,true
otimizada,9,true
simples,30,true
otimizada,4,true
simples,1,false
otimizada,1,false
simples,35,true
otimizada,3,true
simples,1,false
otimizada,1,false
simples,25,false
otimizada,25,false
simples,22,false
otimizada,16,false
simples,34,false
otimizada,30,false
simples,24,true
otimizada,4,false
simples,18,true
otimizada,10,false
simples,33,true
otimizada,13,true
simples,20,true
otimizada,6,true
simples,18,true
otimizada,8,false
simples,17,true
otimizada,3,false
simples,23,true
otimizada,19,true
simples,29,true
otimizada,11,true
simples,19,true
otimizada,2,false
simples,33,true
otimizada,13,true
simples,1,false
otimizada,1,false
simples,2,false
otimizada,2,false
simples,15,false
otimizada,15,false
simples,21,true
otimizada,19,false
simples,12,true
otimizada,4,false
simples,35,true
otimizada,15,true
simples,21,false
otimizada,5,true
simples,27,true
otimizada,23,true
simples,26,true
otimizada,14,true
simples,29,false
otimizada,23,true
simples,28,true
otimizada,4,false
simples,2,false
otimizada,2,false
simples,1,false
otimizada,1,false
simples,28,true
otimizada,6,true
simples,30,true
otimizada,2,true
simples,30,true
otimizada,8,false
simples,24,true
otimizada,16,false
simples,14,false
otimizada,10,true
simples,34,true
otimizada,6,true
simples,30,false
otimizada,24,true
simples,22,true
otimizada,18,true
simples,32,true
otimizada,6,true
simples,29,true
otimizada,8,false
simples,1,false
otimizada,1,false
simples,19,true
otimizada,3,false
simples,1,false
otimizada,1,false
simples,22,true
otimizada,2,false
simples,1,false
otimizada,1,false
simples,1,false
otimizada,1,false
simples,29,true
otimizada,19,true
simples,35,true
otimizada,3,false
simples,29,true
otimizada,15,true
simples,4,true
otimizada,2,false
simples,35,true
otimizada,20,true
simples,33,true
otimizada,19,true
simples,32,true
otimizada,32,true
simples,30,true
otimizada,4,false
simples,19,true
otimizada,19,true
simples,28,true
otimizada,2,true
simples,26,false
otimizada,18,true
simples,31,true
otimizada,27,true
simples,22,true
otimizada,4,false
simples,36,true
otimizada,5,true
simples,26,true
otimizada,12,true
simples,1,true
otimizada,1,true
simples,24,true
otimizada,24,true
simples,35,true
otimizada,23,true
simples,23,false
otimizada,8,false
simples,24,true
otimizada,26,true
simples,1,false
otimizada,1,false
simples,14,true
otimizada,8,false
simples,29,true
otimizada,19,true
simples,8,true
otimizada,2,false
simples,22,true
otimizada,6,false
simples,29,true
otimizada,19,true
simples,15,true
otimizada,3,false
simples,27,true
otimizada,15,false
simples,27,true
otimizada,11,true
simples,2,false
otimizada,2,false
simples,24,false
otimizada,2,false
simples,35,true
otimizada,17,true
simples,19,false
otimizada,12,true
simples,26,true
otimizada,26,true
simples,29,true
otimizada,13,false
simples,1,true
otimizada,1,true
simples,1,false
otimizada,1,false
simples,29,true
otimizada,29,true
simples,2,true
otimizada,1,false
simples,28,false
otimizada,7,false
simples,23,true
otimizada,21,false
simples,20,true
otimizada,4,false
simples,17,true
otimizada,5,true
simples,33,true
otimizada,18,false
simples,33,false
otimizada,12,true
simples,21,true
otimizada,3,false
simples,24,true
otimizada,8,false
simples,1,true
otimizada,1,true
simples,17,true
otimizada,17,true
simples,8,true
otimizada,2,false
simples,1,true
otimizada,1,true
simples,1,false
otimizada,1,false
simples,13,false
otimizada,3,true
simples,24,true
otimizada,2,true
simples,25,true
otimizada,17,false
simples,25,false
otimizada,31,false
simples,17,true
otimizada,17,true
simples,24,false
otimizada,4,false
simples,1,false
otimizada,1,false
simples,1,false
